a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
slice	[slaɪs] vt. 切成片 n. 薄片 vi. 斜击 
slide	[slaɪd] vi. 滑落 vt. 衰落（成） n. 幻灯片 
slight	[slaɪt] adj. 微小的 n. 轻蔑，忽视，冷落 vt. 轻蔑，忽视，怠慢 
slightly	[ˈslaɪtli] adv. 轻微地，轻轻地 
slip	[slɪp] vi. 滑，滑脱 vt. 使顺利滑动 n. 跌倒，失足 adj. 滑动的 abbr. 串行线路接口协议(Serial Line Interface Protocol) 
slipper	[ˈslɪpə(r), ˈslɪpɚ] n. 拖鞋，（室内）便鞋;（马车的）煞车，[机]滑动部分，滑屐 v. （用拖鞋）打（孩子等）;穿着拖鞋走 
slippery	[ˈslɪpəri] adj. 滑溜的 
slogan	[ˈsləʊgən, ˈsloʊgən] n. 标语，口号 
slope	[sləʊp, sloʊp] n. 斜坡 vi. 倾斜 vt. 使倾斜 
slow	[sləʊ, sloʊ] adj. 慢的 adv. 慢慢地 vt.&vi. （使）缓行，（使）减速 vi. 变慢 vt. 放慢 
slum	[slʌm] n. 贫民窟，贫民区 vi. （因好奇而）逛贫民区 
sly	[slaɪ] adj. 狡猾的，狡诈的 
small	[smɔl, smɔ:l] adj. 小的 adv. 小小地 n. 细小部分，腰部 
smart	[smɑ:rt, smɑ:t] adj. 聪明的 vi. 疼痛 n. 创伤 vt. 引起…的疼痛（或痛苦、苦恼等） adv. 聪明伶俐地，轻快地，漂亮地 
smell	[smel, smɛl] n. 气味;嗅觉 vt.&vi.&link-v. 嗅，闻;闻出，发觉，查出 
smile	[smaɪl] n. 微笑，笑容 vt. 以微笑表示 vi. 微笑 
smoke	[smoʊk, sməʊk] n. 烟 vi. 抽烟 vt. 用烟熏制 
smooth	[smuð, smu:ð] adj. 光滑的 vt. 使平滑 vi. 变平和，变缓和 n. 平地，平面 
smuggle	[ˈsmʌgl, ˈsmʌɡəl] vt. 走私;偷运 vi. 走私;偷带 
snack	[snæk] n. 快餐，点心;加餐 vi. 吃快餐 
snake	[snek, sneɪk] n. 蛇 vt. 沿…曲折前进（或延伸） vi. 曲折前进（或延伸） 
snatch	[snætʃ] n. 抢 vi. 作出握住或抢夺的动作 vt. 抢夺，夺得 
snow	[snəʊ, snoʊ] n. 积雪 vt. 下雪 vi. 降雪 
so	[səʊ, soʊ] adv. 这样 conj. （表示因果关系）因此 pron. 如此 int. [表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！ adj. 如此的 
soak	[səʊk, soʊk] vt. 浸泡，浸透 vi. 浸泡 n. 湿透 
sob	[sɒb, sɑ:b] vi. 呜咽 vt. 哭诉，呜咽着说 n. 啜泣（声），呜咽（声） 
social	[ˈsoʊʃl, ˈsəʊʃl] adj. 社会的，社会上的;交际的，社交的 n. 联谊会，联欢会;社交聚会 
socialist	[ˈsəʊʃəlɪst, ˈsoʊʃəlɪst] n. 社会主义者 adj. 社会主义的;社会党的 
society	[səˈsaɪɪti, səˈsaɪəti] n. 社会;社团 adj. 上流社会的，社交界的 
sock	[sɒk, sɑ:k] n. 短袜;（尤指用拳头）猛击，重击 vt. 重击;给…穿袜 
soda	[ˈsəʊdə, ˈsoʊdə] n. 苏打 
soft	[sɒft, sɔ:ft] adj. 软的，柔软的 n. 柔软之物，柔软的部分 adv. 柔和地 
software	[ˈsɒftweə(r), ˈsɔ:ftwer] n. 软件 
soil	[sɔɪl] n. 泥土 vt. 弄脏，污辱 vi. 变脏、受污染或玷污的 
soldier	[ˈsoʊldʒə(r), ˈsəʊldʒə(r)] n. 士兵;战士 v. 坚持;硬挺着 
sole	[soʊl, səʊl] adj. 惟一的 n. 鞋底 vt. 给（鞋）换底 
solemn	[ˈsɑ:ləm, ˈsɒləm] adj. 庄重的 
solid	[ˈsɑ:lɪd, ˈsɒlɪd] adj. 固体的;实心的 n. 固体;立体图形 
solidify	[səˈlɪdəˌfaɪ, səˈlɪdɪfaɪ] vt.&vi. 使凝固，固化 vt. 凝固 vi. 凝固 
solution	[səˈlu:ʃn, səˈluʃən] n. 溶液 
solve	[sɒlv, sɑ:lv] vt. 解决 
some	[sʌm, səm] adj. 一些 pron. 一些 adv. 非常 
somebody	[ˈsʌmˌbɑdi, -ˌbʌdi, -bədi, ˈsʌmbədi] pron. 某人，有人 n. 大人物，重要的人物 
somehow	[ˈsʌmhaʊ, ˈsʌmˌhaʊ] adv. 以某种方式，用某种方法 
someone	[ˈsʌmwʌn, ˈsʌmˌwʌn, -wən] pron. 某人，有人 n. 某个人 
something	[ˈsʌmθɪŋ] pron. 某物，某事 n. （表示不确切的描述或数量）大致，左右 adv. 非常 
sometime	[ˈsʌmtaɪm, ˈsʌmˌtaɪm] adv. 将来某个时候;过去某个时候 adj. （指某人曾经是…）从前的，一度的;某一时间的 
sometimes	[ˈsʌmtaɪmz, ˈsʌmˌtaɪmz] adv. 时而 
somewhat	[ˈsʌmwɒt, ˈsʌmwʌt] adv. 稍微;有点 n. 少量;某些数量 
somewhere	[ˈsʌmwer, ˈsʌmweə(r)] adv. 某地 
son	[sʌn] n. 儿子 
song	[sɒŋ, sɔ:ŋ] n. 歌曲 
soon	[su:n, sun] adv. 快 
sore	[sɔr, sor, sɔ:(r)] adj. 疼痛的 n. （肌肤的）痛处，伤处 adv. 〈古，诗〉同sorely 
sorrow	[ˈsɒrəʊ, ˈsɑ:roʊ] n. 悲痛;悔恨，惋惜 vt.&vi. 悲痛;遗憾 
sorry	[ˈsɒri, ˈsɑ:ri] adj. 遗憾的 
sort	[sɔ:t, sɔ:rt] n. 分类，类别 vt.&vi. 分类 vt. 挑选 vi. 分类 
soul	[soʊl, səʊl] n. 灵魂;精神 adj. 美国黑人文化的 
sound	[saʊnd] n. 声音，声响 vi. 响，发声 vt. 使出声，使发声 adj. 健全的 adv. 彻底地，充分地 
soup	[su:p, sup] n. 汤，羹;浓雾 vt. 加大马力 
sour	[saʊr, ˈsaʊə(r)] adj. 有酸味的 vi. 变酸，变馊 vt. 变坏，恶化 n. 酸味 
source	[sɔ:rs, sɔ:s] n. 根源，本源 vt. （从…）获得 vi. 原料来源 
south	[saʊθ] n. 南方 adj. 南的 adv. 向南方，在南方 
southern	[ˈsʌðərn, ˈsʌðən] adj. 南方的，南部的;来自南方的 n. 南方人，南部人 
southward	[ˈsaʊθwəd, ˈsʌðəd, 'saʊθwəd] adv.&adj. 向南方（的） 
sow	[səʊ, soʊ] vt.&vi. 播（种），播种于 vt. 散布 n. 母猪 
space	[speɪs,  spes] n. 空间，太空 vt. 把…分隔开，留间隔于…之间 vi. 以一定间隔排列 
spaceship	[ˈspeɪsʃɪp, ˈspesˌʃɪp] n. （尤指小说中的）宇宙飞船 
spade	[sped, speɪd] n. 铁锹，铲子;纸牌中的)黑桃 vt. 铲 
Spanish	[ˈspænɪʃ] adj. 西班牙的;西班牙语的 n. 西班牙语;西班牙人 
spare	[speə(r), sper] vt. 节省，俭省 adj. 多余的，剩下的（钱等），空闲的（时间等） n. 备用零件，备用轮胎 vi. 节约 
spark	[spɑ:k, spɑ:rk] n. 电火花 vi. 发出火星，发出闪光 vt. 发动，触发 
sparkle	[ˈspɑ:kl, ˈspɑ:rkl] vi. 闪耀，闪烁;活跃，焕发活力和才智 n. 光亮;活力 
sparrow	[ˈspærəʊ, ˈspæroʊ] n. 麻雀 
speak	[spi:k, spik] vt.&vi. 讲，谈 
speaker	[ˈspikɚ, ˈspi:kə(r)] n. 扬声器 
spear	[spɪə(r), spɪr] n. 矛 vt. 用矛刺 adj. 父系的，右边的 
special	[ˈspɛʃəl, ˈspeʃl] adj. 特殊的;专用的 n. 专车;特价 
specific	[spəˈsɪfɪk, spɪˈsɪfɪk] adj. 具体的;明确的 n. 特效药;特性 
spectator	[spekˈteɪtə(r), ˈspekteɪtər] n. 观众，旁观者 
speech	[spi:tʃ, spitʃ] n. 演说，演讲，发言 
speed	[spid, spi:d] n. 速度 vt.&vi. 急行，加速 vi. 加速 vt. 加快…的速度 
spell	[spɛl, spel] vt. 拼写 vi. 轮替 n. 符咒，咒语 
spend	[spɛnd, spend] vt.&vi. 用钱，花钱 vt. 花费 n. （为某目的或某段时间内的）花销，花费，开销 
sphere	[sfɪə(r), sfɪr] n. 球（体）;（兴趣或活动的）范围 vt. 形成球体;包围，围绕 
spin	[spɪn] vi. 纺纱 vt. 纺（线） n. 旋转的行为 
spirit	[ˈspɪrɪt] n. 精神，心灵;情绪 v. 神秘地带走 
spite	[spaɪt] n. 怨恨;恶意 vt. 向…表示恶意;欺负 
splendid	[ˈsplendɪd, ˈsplɛndɪd] adj. 壮观的，豪华的 
split	[splɪt] vt. 分裂 n. 划分 vi. <俚>走开 adj. 裂开的，劈开的，分离的，分裂的 
spoil	[spɔɪl] vi. 变质 vt. 损坏，糟蹋 n. 抢劫，掠夺 
sponsor	[ˈspɑ:nsə(r), ˈspɒnsə(r)] n. 发起者，主办者;担保者 vt. 赞助 
spoon	[spu:n, spun] n. 匙，调羹 vt. 用汤匙舀取 vi. 轻轻向上击 
sport	[spɔ:t, spɔ:rt] n. 体育运动;乐趣 v. 得意地穿戴;夸示 
sportsman	[ˈspɔ:rtsmən, ˈspɔ:tsmən] n. 运动员，运动家 
spot	[spɒt, spɑ:t] n. 地点，场所 v. 弄上污渍，弄上斑点 adj. 现场的 abbr. satellite positioning and tracking 卫星定位和跟踪 
spread	[spred, sprɛd] vt.&vi. 展开 n. 范围 vt. 涂 vi. （景色、景致）展现 adj. 张开的 
spring	[sprɪŋ] n. 春季 vi. 跳，跃 vt. 突然跳出 adj. 春天的 
spy	[spaɪ] n. 间谍 vt. 看见 vi. 当间谍 
square	[skwer, skweə(r)] n. 平方 adj. 平方的 adv. 四四方方地 vt. 使成正方形 vi. 一致 
squeeze	[skwi:z, skwiz] vt.&vi. 挤，榨，捏 vt. 榨取，汲取 vi. 在强压下屈服 n. 挤压，压榨 
squirrel	[ˈskwɪrəl, ˈskwɜ:rəl] n. 松鼠，松鼠科动物;松鼠毛皮 vt. 储藏;贮存 
stable	[ˈstebəl, ˈsteɪbl] adj. 稳定的 n. 厩，马厩，马棚，牛棚 vt. 使关进畜舍（或马厩、牛棚等），使放入马厩般的室内 vi. 被关在畜舍内，（人）生活在厩一般的地方 
staff	[stɑ:f, stæf] n. 参谋 adj. 职员的 v. 在…工作 
stage	[stedʒ, steɪdʒ] n. 阶段 vt.&vi. 上演，演出 vt. 举行 vi. 适于上演，适合在舞台上演出 
stair	[ster, steə(r)] n. 楼梯 
staircase	[ˈsterkeɪs, ˈsteəkeɪs] n. 楼梯 
stamp	[stæmp] n. 邮票 vt. 标记 vi. 捣碎 
stand	[stænd] n. 立场 vi. 站立，起立 vt. 忍受 vt.&vi. 站立，（使）直立，站着 
standard	[ˈstændərd, ˈstændəd] n. 标准，规格;旗，军旗 adj. 标准的，合格的;普遍的，一般的 
star	[stɑr, stɑ:(r)] n. 明星;星 v. 主演;（在文字等旁）标星号 
stare	[ster, steə(r)] vi. 盯着看 vt. 凝视 n. 凝视，瞪视 
start	[stɑ:t, stɑ:rt] n. 开始 vt.&vi. 出发，启程 vt. 起动 vi. 起始 
startle	[ˈstɑ:rtl, ˈstɑ:tl] vt. 使震惊，使大吃一惊 vi. 惊吓 n. 惊跳 
starve	[stɑ:rv, stɑ:v] vi. 挨饿;[非正式用语] 饥饿 vt. 饿死;使挨饿 
state	[steɪt, stet] n. 国家 vt. 规定 adj. 国家的 
statement	[ ˈstetmənt, ˈsteɪtmənt] n. 声明 vi. （英国）对儿童进行特殊教育评估认定 vt. 申请（小孩）有特殊教育需要 
statesman	[ˈsteɪtsmən, ˈstetsmən] n. 政治家 
station	[ˈsteʃən, ˈsteɪʃn] n. 车站;所，局 vt. 配置，安置;驻扎 
statue	[ˈstætʃu, ˈstætʃu:] n. 雕像，塑像 vt. 用雕像装饰 
status	[ˈstetəs, ˈstætəs, ˈsteɪtəs] n. 地位 
stay	[steɪ, ste] vt.&vi. 停留 vi. 继续处于某种状态 n. 逗留 
steady	[ˈstedi, ˈstɛdi] adj. 稳定的，不变的 vt. 使稳定，使坚定 n. 关系固定的情侣 
steal	[sti:l, stil] vt. 偷 vi. 偷 n. 偷窃 
steam	[sti:m, stim] n. 蒸汽，雾 vt.&vi. 冒蒸汽 vi. 动力 vt. 蒸煮 
steep	[sti:p, stip] adj. 陡峭的，险峻的 vt. 浸泡 vi. 在液体中浸泡 n. 泡的行为或过程 
steer	[stɪə(r), stɪr] vt.&vi. 引导 vt. 掌（舵） vi. 行进 n. 阉公牛，肉用公牛 
stem	[stɛm, stem] n. （花草的）茎;词干 vt. 阻止;遏制[阻止]（液体的流动等） 
step	[stɛp, step] n. 步，脚步 vt.&vi. 举步，行走 vi. 走 vt. 跳舞 
stern	[stɜ:rn, stɜ:n] adj. 严肃的;严厉的，严峻的 n. 船尾，艉;末端 
stick	[stɪk] vt.&vi. 粘贴 vt. 容忍 n. 棍棒，棍枝 
stiff	[stɪf] adj. 严厉的 adv. <口>极度地，非常 n. 死尸 vt. 诈骗 
still	[stɪl] adv. 仍，仍然 adj. 不动的，静止的 n. 平静，寂静 vt.&vi. （使某物）平静下来，安静 conj. 但是 
sting	[stɪŋ] vt. 刺痛 vi. 感到剧痛 n. 螫伤处 
stir	[stɚ, stɜ:(r)] vt.&vi. 搅拌 vt. 使打起精神 vi. 苏醒 n. 搅动 
stock	[stɒk, stɑ:k] n. 库存 adj. 常备的，存货的 vt. 提供货物 vi. 出新芽 
stocking	[ˈstɑ:kɪŋ, ˈstɒkɪŋ] n. 长袜 
stomach	[ˈstʌmək] n. 胃;腹部 vt. 容忍;吃…吃得津津有味 
stone	[stoʊn, stəʊn] n. 石头 vt. 向扔石块 adj. 石制的 adv. 石一般的 
stool	[stu:l, stul] n. 凳子，高脚凳;大便，粪便 v. 长出新枝;排便 
stoop	[stu:p, stup] n. 屈服;门廊，游廊 vt.&vi. 弯腰;屈服，忍辱 
stop	[stɑ:p, stɒp] vi. 停止 vt. 塞住 n. 停止 
store	[stɔ:(r), stɔr, stor] n. 商店;贮存物 v. 贮存;（在计算机里）存储 
storey	['stɔ:rɪ, ˈstɔri, ˈstori] n. <英>楼层 
storm	[stɔ:m, stɔ:rm] n. 暴风雨，暴风雪 vi. 起风暴，下暴雨 vt. 袭击，猛攻 
story	[ˈstɔri, ˈstori, ˈstɔ:ri] n. 故事，传说 vt. 用历史故事画装饰 vi. 说谎 
stove	[stoʊv, stəʊv] n. 炉，火炉;窑 v. 用火炉烤 
straight	[streɪt, stret] adj. 直的 adv. 直地 n. 直线 
straightforward	[ˌstreɪtˈfɔ:wəd, ˌstreɪtˈfɔ:rwərd] adj. 直截了当的;坦率的 adv. 直截了当地;坦率地 
strain	[streɪn, stren] vt.&vi. 拉紧，拉伤 n. 血统，家族 vt. 拉紧，拽紧或扯紧 vi. 不懈 
strange	[strendʒ, streɪndʒ] adj. 陌生的，生疏的;奇怪的，古怪的 adv. 奇怪地;陌生地 
stranger	[ˈstrendʒɚ, ˈstreɪndʒə(r)] n. 外地人;陌生人，不认识的人 adj. 不熟悉的，陌生的(strange)的比较级 
strategy	[ˈstrætədʒi] n. 策略，战略 
straw	[strɔ:, strɔ] n. 稻草;吸管 adj. 稻草的，麦秆的;稻草[麦秆]做的 
strawberry	[ˈstrɔ:bəri, ˈstrɔ:beri] n. 草莓 
stream	[stri:m, strim] n. 河流，小河，川，溪 vt.&vi. 流，流动 vi. 飘扬 vt. 按能力分班（或分组） 
street	[stri:t, strit] n. 大街，街道 
strength	[streŋθ, strɛŋkθ, strɛŋθ, strɛnθ] n. 力量 
strengthen	[ˈstreŋθn, ˈstrɛŋkθən,ˈstrɛŋ-,ˈstrɛn-] vt. 加强，巩固;勉励，激励 vi. 变强;变坚挺 
stress	[stres,  strɛs] n. 压力;强调 vt. 重读;[机械学]使承受压力 
stretch	[strɛtʃ, stretʃ] v. 伸展 n. 伸展 adj. 可伸缩的 
strict	[strɪkt] adj. 精确的 
strike	[straɪk] vt. 攻击 vi. 罢工 n. 攻击 
striking	[ˈstraɪkɪŋ] adj. 引人注目的;显著的 v. 击;打( strike的现在分词) 
string	[strɪŋ] n. 串;绳子，带子 vt. 上弦，调弦;使排成一行或一系列 
strip	[strɪp] vi. 剥光 vt. 除去，剥去 n. 长条，条板 
stroke	[strəʊk, stroʊk] n. 中风 vt. 划掉 vi. 击球 
strong	[strɔ:ŋ, strɒŋ] adj. 强烈的;强的 adv. 强劲地;猛烈地 
structure	[ˈstrʌktʃə(r), ˈstrʌktʃɚ] n. 结构;构造 vt. 构成，排列;安排 
struggle	[ˈstrʌgl, ˈstrʌɡəl] vi. 奋斗;搏斗 n. 奋斗;打斗 
stubborn	[ˈstʌbən, ˈstʌbərn] adj. 顽固的，固执的 
student	[ˈstu:dnt, ˈstju:dnt] n. 中学生 
studio	[ˈstju:diəʊ, ˈstu:dioʊ] n. 工作室，画室 
study	[ˈstʌdi] n. 学习，研究 vi. 考虑 vt. 想出 
stuff	[stʌf] n. 材料，原料，资料 vt. 塞满 vi. 吃得过多 
stuffy	[ˈstʌfi] adj. 闷热的，不通气的 
stupid	[ˈstu:pɪd, ˈstju:pɪd] adj. 愚蠢的;迟钝的 n. <口>傻子，笨蛋 
style	[staɪl] n. 方式 vt. 设计 vi. 使符合流行式样 
subject	[ˈsʌbdʒekt, ˈsʌbdʒɪkt] n. 主题，话题 adj. 须服从…的 v. 提供，提出 
submit	[səbˈmɪt] vi. 顺从，服从;甘受，忍受 vt. 使服从，使顺从;提交，呈送 
substance	[ˈsʌbstəns] n. 物质，材料 
substitute	[ˈsʌbstɪtju:t, ˈsʌbstɪtu:t] vt.&vi. 代替，替换，代用 n. 替代物 vi. 用…替代 
subtract	[səbˈtrækt] vt. 减去 
suburb	[ˈsʌbɜ:b, ˈsʌbɜ:rb] n. 郊区，城郊 
succeed	[səkˈsi:d, səkˈsid] vi. 成功;继承 vt. 继承，继任，继位;随…之后 
success	[səkˈses, səkˈsɛs] n. 成功，成就 
successful	[səkˈsɛsfəl, səkˈsesfl] adj. 成功的，如愿以偿的 
successor	[səkˈsesə(r), səkˈsɛsɚ] n. 接替的人或事物 
such	[sʌtʃ] adj. 这样的;如此的 pron. 这样的事物[人] 
sudden	[ˈsʌdn] adj. 突然的，未预见到的 
suddenly	[ˈsʌdənli, ˈsʌdn:lɪ] adv. 意外地，忽然地 
suffer	[ˈsʌfə(r),  ˈsʌfɚ] vi. 受痛苦;受损害 vt. 遭受;忍受 
sufficient	[səˈfɪʃnt, səˈfɪʃənt] adj. 足够的 
sugar	[ˈʃʊgə(r), ˈʃʊɡɚ] n. 食糖 vt. 在…加糖 vi. 形成糖 int. （做了蠢事或出现差错时表示懊恼，用作 shit 的委婉语）哎呀，真是的 
suggest	[səɡˈdʒɛst, səˈdʒɛst, səˈdʒest] vt. 暗示 
suggestion	[səɡˈdʒɛstʃən, səˈdʒɛs-, səˈdʒestʃən] n. 建议，意见，暗示 
suit	[su:t, sut] n. 诉讼 vt. 适合于（某人） vi. 合适，相称 
suitable	[ˈsu:təbl, ˈsutəbəl] adj. 合适的，适当的，适宜的，恰当的 
sum	[sʌm] n. 金额;总数 vt.&vi. 归纳;总计 
summer	[ˈsʌmə(r), ˈsʌmɚ] n. 夏，夏天 adj. 夏季的 v. 度过夏季，避暑 
sun	[sʌn] n. 太阳，阳光;恒星 v. 晒太阳 
Sunday	[ˈsʌnˌdeɪ, ˈsʌndeɪ] n. 星期日，星期天 
sunny	[ˈsʌni] adj. 和煦的：照到阳光的 
sunrise	[ˈsʌnraɪz, ˈsʌnˌraɪz] n. 日出（时分），黎明 
sunset	[ˈsʌnset, ˈsʌnˌsɛt] n. 晚霞;黄昏 adj. 定期废止的 
sunshine	[ˈsʌnʃaɪn, ˈsʌnˌʃaɪn] n. 阳光，日光 
super	[ˈsu:pə(r), ˈsupɚ] adj. 超级的，极度的，过分的，超等的，极好的 n. 特级品，特大号商品 adv. 非常，过分地 v. 用上浆纱布装（书脊） 
superb	[su:ˈpɜ:b, su:ˈpɜ:rb] adj. 极好的 
superior	[su:ˈpɪriə(r), su:ˈpɪəriə(r)] adj. （级别、地位）较高的;（在质量等方面）较好的 n. 上级;较好的人[事物]，优胜者 
superiority	[su:ˌpɪriˈɔ:rəti, su:ˌpɪəriˈɒrəti] n. 优越（性），优等 
supermarket	[ˈsu:pərmɑ:rkət, ˈsu:pəmɑ:kɪt] n. 超级市场 
supper	[ˈsʌpə(r), ˈsʌpɚ] n. 晚饭，晚餐 
supplement	[ˈsʌplɪmənt, ˈsʌpləmənt] vt. 增补，补充 n. 增补，补充;补充物 
supply	[səˈplaɪ] vt. 供给 n. 供给物 vi. 暂代他人职务 
support	[səˈpɔ:t, səˈpɔ:rt] vt. 支持;支撑 n. 支撑;支持者 
suppose	[səˈpəʊz, səˈpoʊz] vt. 认为;假定 vi. 想象，猜想 
suppress	[səˈpres, səˈprɛs] vt. 镇压，压制 
supreme	[su:ˈpri:m, sʊˈprim] adj. 最高的 
sure	[ʃʊə(r), ʃʊr] adj. 确信的，确实的;有把握的 adv. 当然;确实地 
surface	[ˈsɜ:rfɪs, ˈsɜ:fɪs] n. 表面 vi. 浮出水面 vt. 使浮出水面 adj. 表面的，外观的 
surgeon	[ˈsɜ:dʒən, ˈsɜ:rdʒən] n. 外科医生 
surname	[ˈsɜ:rneɪm, ˈsɜ:neɪm] n. 姓，姓氏;别名，绰号 vt. 给…加姓 
surplus	[ˈsɜ:pləs, ˈsɜ:rpləs] adj. 过剩的;多余的 n. 盈余;顺差 
surprise	[səˈpraɪz, sərˈpraɪz] vt. 使惊奇;突袭 n. 惊喜，惊奇;意外的事 
surprising	[səˈpraɪzɪŋ, sərˈpraɪzɪŋ] adj. 使人惊讶的，出人意料的，惊人的;惊人的，意外的 v. 使惊奇，使诧异( surprise的现在分词);意外发现[撞见]，出其不意获得 
surrender	[səˈrɛndɚ, səˈrendə(r)] vi. 投降 vt. 交出 n. 投降 
surround	[səˈraʊnd] vt. 包围，围绕 n. （物品的）边;外围物 
survey	[ˈsɜ:rveɪ, ˈsɜ:veɪ] vi. 测量土地 vt. 调查 n. 调查（表），调查所，测量，测量部，测量图 
survival	[sərˈvaɪvl, səˈvaɪvl] n. 幸存，生存 
survive	[səˈvaɪv, sərˈvaɪv] vi. 幸存，活下来 vt. 幸存 vt.&vi. 幸免于难 
suspect	[səˈspekt, səˈspɛkt] vt. 猜疑（是） n. 嫌疑犯 vi. 怀疑 
suspicious	[səˈspɪʃəs] adj. 可疑的 
swallow	[ˈswɑ:loʊ, ˈswɒləʊ] vt.&vi. 吞，咽 vt. 不流露 n. [鸟]燕子 
sway	[swe, sweɪ] vi. 摇摆 vt. 使前后或来回摇摆 n. 摇摆 
swear	[sweə(r), swer] v. 发誓;咒骂 n. 咒骂;发誓，宣誓 
sweat	[swet, swɛt] vi. 流汗，渗出 vt. 使出汗 n. 汗水 
sweater	[ˈswetə(r), ˈswɛtɚ] n. 毛衣，运动衫;出汗（过多）的人，发汗剂 adj. 运动衫的;运动衫式的 
sweep	[swip, swi:p] vt. 扫除 vi. 打扫 n. 打扫 
sweet	[swit, swi:t] adj. 甜的;愉快的，快乐的 n. 甜味;糖果，甜食 
swell	[swel, swɛl] vt.&vi. 膨胀 n. 汹涌 adj. 极好的 
swift	[swɪft] adj. 迅速的 n. 雨燕 adv. 迅速地，敏捷地 
swim	[swɪm] v. 游泳;游动 n. 游泳 
swing	[swɪŋ] vt.&vi. （使）摇摆 n. 秋千 vt. 使旋转 vi. 悬摆 
Swiss	[swɪs] adj. （人）来自瑞士的;瑞士的，瑞士文化的 n. 瑞士人 
switch	[swɪtʃ] n. 开关 vt.&vi. 转换 vt. 转换 vi. 交换 
sword	[sɔ:d, sɔ:rd] n. 剑，刀 
symbol	[ˈsɪmbl, ˈsɪmbəl] n. 符号;象征 vt. 用符号代表 
sympathetic	[ˌsɪmpəˈθetɪk, ˌsɪmpəˈθɛtɪk] adj. 同情的，有同情心的 
sympathy	[ˈsɪmpəθi] n. 慰问 
system	[ˈsɪstəm] n. 制度 
table	[ˈtebəl, ˈteɪbl] n. 桌子 vt. 制表 adj. 桌子的 
tablet	[ˈtæblɪt, ˈtæblət] n. 药片;碑，匾 vt. 用碑牌纪念;将（备忘录等）写在板上 
tactics	['tæktɪks, ˈtæktɪks] n. 战术 
tail	[teɪl, tel] n. 尾 vt. 跟踪 vi. 队伍单行行进时拉长或产生间隔 
tailor	[ˈteɪlə(r), ˈtelɚ] n. 裁缝，成衣工 vi. 做裁缝 vt. 调整使适应 
take	[teɪk, tek] vt. 采取 vi. 拿 n. 镜头 
tale	[teɪl, tel] n. 传说，传言 
talent	[ˈtælənt] n. 天资，才能 
talk	[tɔ:k, tɔk] v. 说话;讨论 n. 交谈;讨论 
tall	[tɔl, tɔ:l] adj. 身材高的，高大的;（数量）大的 adv. 夸大地;趾高气扬地 
tame	[tem, teɪm] adj. 驯服的;平淡的 v. 驯服;抑制 
tank	[tæŋk] n. 坦克;油[水]箱 vt. 把…贮放在柜内;打败 
tap	[tæp] vt. 开发 vi. 轻声走 n. 龙头，阀门 
tape	[teɪp, tep] n. 带子 vt. 录音 vt.&vi. 录音 
target	[ˈtɑ:rgɪt, ˈtɑ:gɪt] n. 目标;目的 vt. 瞄准;把…作为攻击目标 
tariff	[ˈtærɪf] n. 关税;关税表 vt. 征收关税;定税率 
task	[tɑ:sk, tæsk] n. 作业;工作，任务 vt. 交给某人（任务）;使过于劳累 
taste	[test, teɪst] n. 滋味 vt.&vi. 尝，品尝 vt. 吃 vi. 尝味 
tax	[tæks] vt. 使负重担;消耗精力 n. 税，税额;负担 
taxi	[ˈtæksi] n. 出租车 vi. 乘出租车 vt. 用出租车运送 
tea	[ti:, ti] n. 茶 vt. 给…沏茶 vi. 喝茶 
teach	[titʃ, ti:tʃ] vt. 教;教授 vi. 教书 
teacher	[ˈti:tʃə(r), ˈtitʃɚ] n. 教师，教员，老师，先生 
team	[tim, ti:m] n. 团队;队，组 vi. 协同工作;合作 
tear	[teə(r), ter ] v. 撕裂;拉掉 n. 破洞;裂口 
tease	[tiz, ti:z] vt. 挑逗 vi. 梳理（羊毛等） n. 爱嘲弄他人的人 
technical	[ˈtɛknɪkəl, ˈteknɪkl] adj. 技术（性）的，工艺的，学术（上）的，专门（技术）的，艺术的 
technique	[tɛkˈnik, tekˈni:k] n. 技术 
telegram	[ˈtelɪgræm, ˈtɛlɪˌɡræm] n. 电报 vt. 电报：用电报机发送的信息 
telegraph	[ˈtelɪgrɑ:f, ˈtelɪgræf] n. 电报 vt.&vi. 打电报 vt. 用电报发送 
telephone	[ˈtelɪfəʊn, ˈtelɪfoʊn] n. 电话;电话机 vt.&vi. 以电话传送（消息），给（某人）打电话;用电话与（某人）交谈 
television	[ˈtelɪvɪʒn, ˈtɛləˌvɪʒən] n. 电视节目 
tell	[tɛl, tel] vt. 讲述 vt.&vi. 分辨，辨别 vi. 泄密，告发 n. [考古学]（古代村落遗址堆积而成的）台形土墩 
temper	[ˈtempə(r), ˈtɛmpɚ] n. 性情，脾气 vt. 锻炼 vi. 使调和 
temperature	[ˈtemprətʃə(r), ˈtɛmpərəˌtʃʊr,-tʃɚ,ˈtɛmprə-] n. 温度 
temple	[ˈtempl, ˈtɛmpəl] n. 庙，寺 
temporary	[ˈtemprəri, ˈtempəreri] adj. 短暂的;临时的，暂时的 n. 临时工，临时雇员 
tempt	[tɛmpt, tempt] vt. 吸引;引诱，怂恿 vi. 有吸引力 
ten	[ten, tɛn] num. 十，十个;第十 n. 十个人;十点钟 
tend	[tɛnd, tend] vt. 照料，照顾;护理 vi. 倾向（于），趋向（于）;伺侯，招待 
